Membership No  Date Joined  Active  
    65070      2015-10-8    no    
    96845      2019-9-25    no    
    42961      2020-11-10   no    
    27015      2020-7-6     no    
    13129      2020-3-3     no    
    23514      2016-11-13   no    
    93668      2016-3-23    no    
    31352      2018-3-20    no    
    74433      2015-7-6     no    
    41897      2018-9-12    no    
    64193      2015-5-5     no    
    74359      2015-3-25    no    
    16284      2016-10-21   no    
    91904      2017-2-12    no    
    73710      2019-5-1     no    
    16396      2017-12-19   no    
