Membership No  Date Joined  Active  
    35212      2020-4-8     yes   
    21243      2019-8-22    yes   
    82420      2016-9-17    yes   
    17688      2018-11-9    no    
    95767      2015-10-8    yes   
    61594      2019-11-19   no    
    57198      2017-7-25    yes   
    66270      2018-10-11   yes   
    96076      2020-5-13    yes   
    33583      2018-2-9     no    
    70961      2016-4-5     yes   
    25929      2015-1-24    yes   
    21730      2018-7-11    no    
    71943      2020-4-5     yes   
    79711      2015-1-4     yes   
    83329      2015-11-15   no    
    26772      2018-7-11    yes   
    78257      2015-9-22    no    
    58535      2019-3-1     yes   
    38713      2017-12-3    yes   
